COMBUSTÍVEL;ANO;REGIÃO;ESTADO;UNIDADE;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;TOTAL
GASOLINA C (m3);2000;REGIÃO NORTE;RONDÔNIA;m3;9563,263;11341,229;9369,746;10719,983;11165,968;12312,451;11220,97;12482,281;13591,122;11940,57;11547,576;10818,094;136073,253
GASOLINA C (m3);2000;REGIÃO NORTE;ACRE;m3;3065,758;3495,29;2946,93;3023,92;3206,93;3612,58;3264,46;3835,74;3676,571;3225,61;3289,718;3358,346;40001,853
GASOLINA C (m3);2000;REGIÃO NORTE;AMAZONAS;m3;17615,604;20258,2;18741,344;19604,023;20221,674;20792,616;19912,898;21869,338;21145,643;20633,175;20766,918;21180,919;242742,352
GASOLINA C (m3);2000;REGIÃO NORTE;RORAIMA;m3;3259,3;3636,216;3631,569;3348,416;3394,016;4078,616;3346,616;4029,9;4358,516;3716,032;3200,4;3339,332;43338,929
GASOLINA C (m3);2000;REGIÃO NORTE;PARÁ;m3;28830,479;32297,047;27310,979;29396,384;26511,009;36553,25;31807,84;31009,972;29755,907;28661,951;28145,784;29294,796;359575,398
GASOLINA C (m3);2000;REGIÃO NORTE;AMAPÁ;m3;3456,35;4092,25;3395,6;3613,7;3533,05;4387,1;3541;4096,7;4374,2;3917,75;3779,9;4068,216;46255,816
GASOLINA C (m3);2000;REGIÃO NORTE;TOCANTINS;m3;6961,518;7027,916;6616,28;6699,691;7174,92;8479,58;8046,45;7734,34;8267,903;7398,315;7153,283;7522,171;89082,367
GASOLINA C (m3);2000;REGIÃO NORDESTE;MARANHÃO;m3;16751,08;17985,405;15357,75;15875,728;16719,97;19185,495;18027,96;18185,91;19684,36;17944,756;17643,608;17730,675;211092,697
GASOLINA C (m3);2000;REGIÃO NORDESTE;PIAUÍ;m3;8452,2;9584,7;7626,11;8282,35;9638,45;10861,4;10473,45;10857,385;11773,193;10630,465;10592,222;10952,369;119724,294
GASOLINA C (m3);2000;REGIÃO NORDESTE;CEARÁ;m3;38492,506;40179,297;37092,083;36847,944;39146,176;41110,491;38988,768;39539,664;41027,53;39412,808;38923,274;40867,267;471627,808
GASOLINA C (m3);2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;m3;19130,2;18901,67;17949,95;17620,6;18024,05;19198,35;16607,65;19082,537;19266,204;18467,781;18534,865;19630,397;222414,254
GASOLINA C (m3);2000;REGIÃO NORDESTE;PARAÍBA;m3;20166,052;20266,851;17760,866;18774,2;19128,15;18352,35;15439,8;16998,465;18352,772;17453,257;18325,781;19422,052;220440,596
GASOLINA C (m3);2000;REGIÃO NORDESTE;PERNAMBUCO;m3;51905,707;62859,575;51836,615;52069,116;54715,623;51551,63;43244,78;45798,134;47324,825;46358,883;49191,749;52270,868;609127,505
GASOLINA C (m3);2000;REGIÃO NORDESTE;ALAGOAS;m3;14001,15;13998,008;12592,121;13921,15;13962,816;13676,4;12461,124;13174,12;14419,916;13613,576;13934,106;14793,822;164548,309
